week,Pulse Anxiety,Pulse Depression,Pulse Medication,Pulse Therapy,Pulse Needed Treatment,SSD Anxiety,SSD Depression,SSD Suicidal Ideation,NSSP Disaster related mental health ED visits,NSSP Suicidal attempt ED visits
2019-06-30,NA,NA,NA,NA,NA,8.8,5.33,0.54,38438,4466
2019-07-07,NA,NA,NA,NA,NA,9.51,5.68,0.53,41346,4654
2019-07-14,NA,NA,NA,NA,NA,9.42,5.55,0.53,40880,4532
2019-07-21,NA,NA,NA,NA,NA,9.55,5.82,0.53,40243,4653
2019-07-28,NA,NA,NA,NA,NA,9.47,5.69,0.55,40271,4502
2019-08-04,NA,NA,NA,NA,NA,9.43,5.63,0.74,42285,4778
2019-08-11,NA,NA,NA,NA,NA,9.39,5.47,0.57,41955,4832
2019-08-18,NA,NA,NA,NA,NA,9.38,5.48,0.53,41610,4693
2019-08-25,NA,NA,NA,NA,NA,9.28,5.38,0.54,40806,4658
2019-09-01,NA,NA,NA,NA,NA,9.41,5.53,0.58,41883,4839
2019-09-08,NA,NA,NA,NA,NA,9.92,5.93,0.8,44187,5172
2019-09-15,NA,NA,NA,NA,NA,9.98,6.05,0.64,44025,5023
2019-09-22,NA,NA,NA,NA,NA,10.08,6.11,0.64,43329,4993
2019-09-29,NA,NA,NA,NA,NA,9.95,6.2,0.65,42702,5080
2019-10-06,NA,NA,NA,NA,NA,10.15,6.32,0.65,41611,4803
2019-10-13,NA,NA,NA,NA,NA,10.13,6.39,0.66,41233,4808
2019-10-20,NA,NA,NA,NA,NA,10.21,6.45,0.65,42491,4948
2019-10-27,NA,NA,NA,NA,NA,9.95,6.28,0.64,41576,4931
2019-11-03,NA,NA,NA,NA,NA,10.07,6.44,0.63,40882,5073
2019-11-10,NA,NA,NA,NA,NA,10.14,6.4,0.62,39467,5119
2019-11-17,NA,NA,NA,NA,NA,10.16,6.39,0.64,41674,5193
2019-11-24,NA,NA,NA,NA,NA,8.86,5.62,0.55,36475,4369
2019-12-01,NA,NA,NA,NA,NA,10.07,6.42,0.64,40339,5060
2019-12-08,NA,NA,NA,NA,NA,9.8,6.18,0.63,41346,5208
2019-12-15,NA,NA,NA,NA,NA,8.81,5.57,0.56,38664,4634
2019-12-22,NA,NA,NA,NA,NA,8.17,5.13,0.5,35670,4156
2019-12-29,NA,NA,NA,NA,NA,9.19,5.62,0.51,40278,4832
2020-01-05,NA,NA,NA,NA,NA,9.74,5.92,0.55,42206,5049
2020-01-12,NA,NA,NA,NA,NA,9.75,5.99,0.65,42643,5233
2020-01-19,NA,NA,NA,NA,NA,10.01,6.19,0.65,41889,5292
2020-01-26,NA,NA,NA,NA,NA,10.17,6.2,0.64,44100,5440
2020-02-02,NA,NA,NA,NA,NA,10.14,6.25,0.62,44116,5504
2020-02-09,NA,NA,NA,NA,NA,10.01,6.3,0.65,44782,5599
2020-02-16,NA,NA,NA,NA,NA,10.29,6.33,0.65,44376,5412
2020-02-23,NA,NA,NA,NA,NA,10.17,6.16,0.65,44596,5337
2020-03-01,NA,NA,NA,NA,NA,9.96,5.96,0.62,45274,5385
2020-03-08,NA,NA,NA,NA,NA,9.53,5.08,0.53,42903,5212
2020-03-15,NA,NA,NA,NA,NA,9.38,4.42,0.42,35288,4472
2020-03-22,NA,NA,NA,NA,NA,9.69,4.63,0.46,32226,4241
2020-03-29,NA,NA,NA,NA,NA,9.66,4.94,0.47,30034,4064
2020-04-05,NA,NA,NA,NA,NA,9.35,5.22,0.47,30276,4192
